"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue May 30 15:21:47 CST 2023","Tue May 30 15:21:47 CST 2023","1","scripts_all","test_say_hi","TestSayHi","","","test_fail",""
"passed","Tue May 30 15:21:47 CST 2023","Tue May 30 15:21:47 CST 2023","0","scripts_all","test_say_hi","TestSayHi","","","test_success",""
